BP-date,Title in BP,Title,IDN,Date,Page,Commentaire,Categories_test,Image,Lien KBR
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,1/07/1935,2,"Les humoristes dinent - M. Gosset, président d'honneur, .... Il avait à ses côtés, le député Louis Piérard - qui exhibait à tout venant sa montre enfin retrouvée - ; M. et Mme Richard Dupierreux, M. et Mme Charles Bernard, le président-prince des humoristes et Mme Marcel Antoine; ...; et puis tous les exposants du VIe salon, leurs compagnes et une demi-douzaine de journalistes. / Entre le spaghetti et la poularde, quelques orateurs tentèrent de se faire entendre; ce ne fut pas le moins bon moment de la soirée, ce qui prouve bien qu'il n'y a pas de vérité toujours vraie. M. Gosset remercia quelques-uns de représentants de la presse et se réjouit du succès du Salon. MA reprit le même thème sur un mode humoristique. M. Louis Piérard demanda aux humoristes ""de se liguer pour vaincre d'un crayon agressif la congrégation des pisse-vinaigre. MM. Richard Dupierreux, Charles Bernard et Charles Peggy se brisèrent la voix en essayant de clamer leur sympathie pour la ""Mine souriante""",MineSouriante,,https://uurl.kbr.be/1264461/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,1/02/1937,2,"Bals et fêtes / L'ass. des anciens élèves de l'Ac. des beaux-arts // (à la fin : ""MA et Claude Robert furent particulièrement applaudis"")",MA-subj,,https://uurl.kbr.be/1524452/p2
BP-date,L'Indépendance belge in BP,L'Indépendance belge,17229173,10/05/1937,2,"ARGO, ""Le VIIIe Salon des Humoristes"" : (2e colonne) ""Marcel Antoine, le plus actif, le plus dévoué des présidents, passe du crayon à l'ébauchoir avec une égale facilité. Ses têtes, comme enveloppées d'un seul trait qui synthétise toute l'expression, sont criantes de ressemblance.""
""Louis van Cutsem a sculpté un étonnant Marcel Antoine, souriant de tous ses dents, et tire un parti plus frappant encore du sourire de M. Max""",MineSouriante,,https://uurl.kbr.be/1086385/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,14/12/1937,2,"La vie Libérale / A Molenbeek-Saint-Jean : L'Oevre libérale de Vêtement et colonies scolaires a procédé ce dimanche écoulé à la distribution annuelle de vêtements à 200 enfants nécessiteux à l'issue d'un goûter au cours duquel se ont fait entendre le comique ""Slache"", de Radio-Schaerbeek et en partenaire, M. Hennuy. Ce dixième anniversaire de cette belle oeuvre aura marqué dans les annales de la philanthropie libérale.""",MA-subj,,https://uurl.kbr.be/1752002/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,7/01/1939,2,"La vie bruxelloise : A l'Eclair etterbeekois : ""Marcel Antoine prêtera son concours à la fête organisée par l4eclair etterbeekois le 14 janvier 1939 au Théâtre Continental, 368, chaussée de Wavre, à 20h. Au même programme de nobreuses vedettes du disque et de la radio""",MA-subj,,https://uurl.kbr.be/1525155/p2
BP-date,Le Radio in BP,Le Radio,12126493,24/03/1939,2,"Une revue de printemps ""Slache travaille du chapeau ... de paille"": samedi prochain (26 mars) à 15 heures : ... revue printanière en 1 prologue, 2 actes et 42 épisodes, livret d'Antonio Marcellus dit Marcel Antoine, en collaboration avec Olive de la Canebière, musique Dechambre. La distribution sera la suivante: ...",Radio+Slache,,https://uurl.kbr.be/2045539/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,26/09/1939,2,"Théâtres : Gaité : ... et le speaker de la radio Marcel Antoine alias Slache, pour la première fois au théâtre",MA-Slache,,https://uurl.kbr.be/1749144/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,27/09/1939,2,"Théâtres : Gaité : MA qui fait son début au théâtre et présentera ""Slache""",MA-Slache,,https://uurl.kbr.be/1749145/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,29/09/1939,2,"Théâtres : Gaité :
OCR: (ialté (nouvelle directioni. — Ce vendredi.
première représentation de la
« Revue de la Oalté ». de Noél Barcy. en
trois actes, avec la troupe dee spécialiste?
du genre, composée d'Eether Deltenre.
Rlttche et Festerat. Jef Miller. Tony
Early, fantaisiste danseur ; Fan y de
Real, le rossignol wallon ; Oaby Letty,
Paul France. Dan» ce même spectacle, le
speaker de la radio. Marcel Antoine, fera
se* débute au théâtre et présentera, pour
la première fols en public, son populaire
Slache. N'oubllon* pas les douce
Oalty-Oirls et l'orchestre de Tony Vaea.
Dimanche, première matinée.",MA-Slache,,https://uurl.kbr.be/1749147/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,22/10/1939,2,"Théâtres : Gaité : ..., les douze Gaity-Girls et Marcel Antoine, qui présente son populaire Slache dans la ""Revue de la Gaité"", ... (ce spectacle peut être vu par tout le monde)",MA-Slache,,https://uurl.kbr.be/1749168/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,4/11/1939,2,"Théâtres : Gaité : .... (team Gaité : Esther Deltenre, , Tittche et Festerat, J. Miller, etc. ... et l'humoriste Marcel Antoine, alias Slache, interprètent  avec brio la joyeuse ""Revue de la Gaité"" qui fait salle comble depuis plus de cinq semaines. C'est le gros succès de l'actualité. Dimanche, matinée",MA-Slache,,https://uurl.kbr.be/1749181/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,9/12/1939,2,"La fête de charité du ""dispenseire antituberculeux"" à Ixelles :  Le désopilant MA, le prince des humoristes, dans ""Slache et l'occultation"" se fit aussi vivement ovationner",MA-Slache,,https://uurl.kbr.be/1749212/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,12/02/1940,2,"Théâtres : Gaité : ... MA, l'actualité vu par Slache",MA-Slache,,https://uurl.kbr.be/1749275/p2
BP-date,L'Etoile belge in BP,L'Etoile belge,16365174,23/02/1940,2,"Théâtres : Gaité : ... En attraction, Marcel Antoine, alias ""Slache et Olive""",MA-Slache,,https://uurl.kbr.be/1749286/p2
BP-date,Vers l'Avenir in BP,Vers l'Avenir,15442494,2/03/1940,2,"L. HOUBEAU ""Chronique féminine : La Femme au Foyer""// (citeert Claude RENAUDY (""Rayon de Vie""))  les illustrés pour enfants ; sur Winckler (Opera-Mundi), etc. (veramerikanisering) :  ""Nous avons peu de journeaux illustrés pour enfants, en Belgique, et celui de qui nous attendions le plus, vu qu'il sort d'une de nos meilleures maisons d'édition : ""Spirou"", nous a profondément déçu, car lui aussi uilise pour certaines de ces pages les dessons dOpera-Mundi et d'une autre agence qui ne vaut pas mieux. Ce n'est pas la première fois que des parents nous ont demandé de protester à ce sujet, puisque jusqu'à présent, nous avons toujours recommandé cet illustré belge. ""Dick tracey"", ""Marc-Hercule"" et d'autres de ses récits sont des histoires qui ne tiennent pas debout et qui désjonorent ""Spirou"". Espérons que leurs exploits finiront bientôt et que nous aurons  le plaisir d'y voir plus de dessons de dessinateurs belges ou même français, mais dont les oeuvres auront été inspirées par la mentalité de chez nous.",Other,,https://uurl.kbr.be/1507731/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,13/03/1940,2,"Le bal de la 'Grenade' - Marcel Antoine, Alice Meva et le jeune imitateur Freddy Northon, qui prêtaient leur concours désintéressé, furent très applaudis",MA-subj,,https://uurl.kbr.be/1525583
BP-date,Le Soir in BP,Le Soir,15438406,20/03/1940,2,"Programme fête annuelle de l'Association de la Corporation des journaux ; ""le populaire humoriste-optimiste Marcel Antoine""",MA-subj,,https://uurl.kbr.be/1602384
BP-date,La Nation belge in BP,La Nation belge,17172248,21/03/1940,2,"Le gala des vendeurs de journaux (il aura lieu à [théâtre] Patria le dimanche de Pâques // ... comme toutes les années la fête comportera une partie artistiques ... rehaussé par ...et par une foule d'artistes en renom, parmi lesquels nous citerons Marcel Antoine dit Slache, Marcel Etienne, dit le Fernandel belge, etc. ...",MA-Slache,,https://uurl.kbr.be/1525591/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,30/04/1940,2,"Le Gala des vedettes 29/04 à Louvain par des militaires au profit des familles nécessiteuses des mobilisés de Louvain (...) ""MA et Willy Cavalli menèrent la note gaie et déridèrent les spectateurs les plus graves""",MA-subj,,https://uurl.kbr.be/1266217/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,30/06/1940,2,"La vie à Bruxelles - Les spectacles du Saint-Sauveur / Une cigarette avec Marcel Antoine : 
""Gaudeamus! Ce sympathique humoriste est revenu ... Aucun danger, mon vieux Marcel, Slache s'est acquis une telle popularité qu'il est devenu l'émanation même de la capitale. Non seulement les ""calands"" ne l'ont pas oublié mais ils aspirent tous à le revoir ... et à le réentendre aussi, bientôt, à la radio! ... D'ailleurs, Slache est le héros d'un nouveau sketch que j'ai le plaisir de lui faire jouer au Saint-Sauveur, entre la représentation des autres numéros, qui sont tous de premier ordre. Voilà que nous promet de bonnes soirées, joyeuse, en perspective. Sans compter que tu dois avoir d'autre projets? ""Chut! nous en parlerons plus tard!"" me répond Marcel Antoine en souriant derrière ses lunettes légendaires ...Slache avec nous, c'est mieux que la bonne humeur: c'est l'optimisme retrouvé!",MA-subj,,https://uurl.kbr.be/1525683/p2
BP-date,Le Soir in BP,Le Soir,15438406,2/07/1940,2,"Le Music-Hall du Saint-Sauveur : .... ""Marcel Antoine présente les numéros avec sa verve coutumière et fait revivre le fameux Slache, au grand plaisir des spectateurs.' ...",MA-Slache,,https://uurl.kbr.be/1602460/p2 
BP-date,La Nation belge in BP,La Nation belge,17172248,16/07/1940,2,"La vie à Bruxelles - Une équipe sympathique : Le Music-Hall Saint-Sauveur [dessin des 5 compères, avec auto-portrait, par Marcel Antoine] ; [article qui joue sur la confusion entre Marcel Antoine et Slache, présentant deux facettes du peronnage] Marcel Antoine, humoriste, a fait place à Marcel Antoine, fonctionnaire [il travaillerait à la maison communale de Schaerbeek, à la distribution des cartes de ravitaillement] [détail du sketch et des gags racontés pendant le Music-Hall] Marcel Antoine est naturellement le speaker du Music-Hall Saint-Sauveur et réjouit le public par sa façon de, heureux de le retrouver comme il l'a été, dimanche dernier, en l'entendant à Radio-Bruxelles conter les bonnes aventures de Slache. Nous espérons tous que ces émissions, qui manquaient au public bruxellois, seront plus fréquentes, car Slache, lui aussi, doit participer au relèvement général.
=> Emission du (dimanche) 14/07/1940 (CEGESOMA: 547_0000_CS-ZB-FRAC_00001 (A)  ""Promotion pour le spectacle du Music Hall Saint-Sauveur, via les interviews de Sicaige, un des organisateur et de Marcel Antoine, un ancien chansonnier de Radio Schaerbeek. Jeu radiophonique de et interprété par Marcel Antoine, où interviennent Slache et Olive.)",MA-Slache,,https://uurl.kbr.be/1525699/p2
BP-date,La Nation belge in BP,La Nation belge,17172248,28/07/1940,2,"""Music-Hall du Saint-Sauveur"": Nous revoyons avec plaisir Marcel Antoine qui a toujours autant d'ennuis avec Slache et Olive, sans compter Toutouneke.",MA-Slache,,https://uurl.kbr.be/1525711
BP-date,Le Soir in BP,Le Soir,15438406,5/07/1941,2,"Théâtre / Cabaret de la Butte (Th. Molière) 19h45, M. Antoine (Slache), Picolo, Nouveau programme",MA-Slache,,https://uurl.kbr.be/1602777/p2
BP-date,Le Soir in BP,Le Soir,15438406,21/05/1942,2,"Chronique du cinéma : ""Un court métrage belge : ""C'était couru! Slache va débuter à l'écran!"" / ""On se décida finalement à choisir l'illustre Ritche pour être corporellement notre héros, quitte à le faire doubler par Marcel Antoine. On tourne, en ce moment, Slache et les fantômes, avec Jean Croixés dans le rôle d'Olive."" ...
[OCR] : C’ETAIT couru! Slache va débuter à
l’écran! Oh! modestement, dans une
série de courts métrages Inspirés des
Innombrables sketchcs de Marcel
Antoine.
Bien d’impossible à ce qu'on tire de ces
cocasses petits drames de quoi faire des
films amusants et sans prétention où les
anciens auditeurs de Radlo-Scnaerbeek verront
vivre et s’animer celui. dont la voix
bizarre et pleurnicharde les a si souvent
réjouis.
Un problème se posait dès l’abord : qui
serait Slache? Marcel Antoine lui-méme?
H ne fallait pas y songer, son gabarit contrastant
par trop avec ce que la voU suggère
Irrésistiblement. D’autre part, il fallait
que celle-ci fût conservée à tout prlxi C'est
pourquoi l’on se décida finalement à choisir
l’illustre Bitche pour être corporellement
notre héros, quitte à le faire doubler par
Marcel Antoine.
On tourne, en ce moment, Slache et les
fantômes, avec Jean Croixès dans le rôle
d’OIive.
(Photo Archives).
Bous avons pu assister récemment à
l’une des prises de vues. Nous croyons superflu
de spécifier qu’il ne s'agit nullement
de bouleverser l’art du cinéma!
Il s’agit, avant tout —- et nous comprenons
parfaitement les préoccupations qui
ont guidé les dirigeants du petit studio
de la rue Joly, de réaliser un court métrage
oui ait — commercialement — des chances
de suocès. Nous admettons donc provisoirement
que le choix de ce scénario dépourvu
de fiel aussi bien que de grossièreté
n'est pas une mauvaise idée en soi.
Le tout est d’en faire un bon film.
D’après ce que nous avons pu Juger, le
maximum a été mis en oeuvre pour ce faire.
Bien que les difficultés poui se procurer
les moindres accessoires soient, en ce moment,
fantastiques, et que le plus petit décor
à réaliser réclame des prodiges d'ingéniosité,
nos entreprenants cinéastes travaillent
d’arrache-pled et sont pleins d’espoir.
Nous désirons, disent-ils, donner aux. spectateurs
quelques Instants de distraction et
de bonne humeur. Pius tard, peut-être, si
le succès nous sourit, nous nous attaquerons
à des choses plus ambitieuses.
Voilé, qui est parler! Souhaitons donc &
Slache des débuts éclatants, dignes de ses
triomphes du micro et du cabaret.",MA-Slache,,https://uurl.kbr.be/1603044/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,20/09/1944,2,"BA-TA-CLAN Club Rue Roelandts 24 à Schaerbeek : Marcel Antoine, ""notre Slache national""",MA-Slache,,https://uurl.kbr.be/1266244/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,8/02/1945,2,"A la mine souriante ""à un démocratique casse-croûte dans leur vieux local de la rue d'Anderlecht, éclairé par quelques bougies anémique""",MineSouriante,,https://uurl.kbr.be/1266341/p2
BP-date,Le Soir in BP,Le Soir,15438406,29/09/1945,2,"Faits divers - Au ""Bruxelles"", 55, Bd Anspach, Berthe Coppi, fantaisiste et la rentrée triomphale de Marcel Antoine, notre Slache national. ",MA-Slache,,https://uurl.kbr.be/1604063/p2
BP-date,Le Soir in BP,Le Soir,15438406,12/04/1948,2,Bals et Soirées : Nuit de la solidarité : excellent orchestre / excellent animateur : Marcel Antoine,MA-subj,,https://uurl.kbr.be/1604973/p2
BP-date,Le Soir in BP,Le Soir,15438406,24/09/1956,2,"Le 25e anniversaire de la ""Mine souriante""",MineSouriante,,https://uurl.kbr.be/1608060/p2
BP-date,Le Soir in BP,Le Soir,15438406,16/04/1959,2,"Marcel Antoine est mort (...) récemment, on l'entendit encore à Radio-Hainaut et on le vit à la télévision dans les Sept jours de l'humour",MA-subj,,https://uurl.kbr.be/1609034/p2
BP-date,Le Soir in BP,Le Soir,15438406,6/01/1960,2,"A la ""Mine souriante"" (...) Au cours d'une réunion qui se tint lundi soir, il fut décidé que ""La Mine souriante"" sera d'un acceuil plus large en ce sens que celui-ci ne se limitera plus aux seuls dessinateurs humoristiques mais sera étendu à tous les humoristes belges: peintres, dessinateurs, sculpteurs, écrivains, acteurs, chanteurs, etc. Ray-Mu (Demeulenaere) devient président.",MineSouriante,,https://uurl.kbr.be/1609266/p2
BP-date,Le Soir in BP,Le Soir,15438406,1/11/1964,2,"Les haltes du souvenir / A Evere : (...) A la pelouse 2, à deux pas de deux tombes qui nous sont chères, un gros bloc de pierre marque l'emplacement où repose l'humoriste Marcel Antoine dont un médaillon, oeuvre du sculpteur Louis van Cutsem, immortalise les traits spirituels.""",MA-subj,,https://uurl.kbr.be/1610570/p2
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,24/12/1928,3,"Fancy-Fair à Schaerbeek : la recette sera bonne - ... - Un cabaret montmartois, dirigé par MM. Marcel Lefèvre, du ""Chat Noir"" et Marcel Antoine, fait des affaires d'or. ",MA-subj,,https://uurl.kbr.be/1261855/p3
BP-date,La Nation belge in BP,La Nation belge,17172248,14/07/1929,3,présent à la fête champêtre en l'honneur de Charles Bernard,MA-subj,,https://uurl.kbr.be/1521710/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,24/03/1930,3,"Au cercle d'escrime ""L'épée"" - ..., l'excellente humoriste MA, ...",MA-subj,,https://uurl.kbr.be/1262308/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,4/01/1931,3,"Le Gala de ""l'étincelle"" : MA membre du comité",MA-subj,,https://uurl.kbr.be/1262592/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,26/10/1931,3,"La soirée dramatique de ""l'étincelle"" : ... nous tirerons hors pair Mmes Ph. regnier et Gerlache, ..., Piccolo et surtout l'excellent humoriste MA, sans oublier ...""",MA-subj,,https://uurl.kbr.be/1262855/p3
BP-date,La Dernière heure in BP,La Dernière heure,17171827,4/01/1932,3,"Les sans-filistes portestent contre la fermeture de radio-Schaerbeek
+FOTO de faust (Faustus)",Radio,,https://uurl.kbr.be/1262922/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,29/02/1932,3,La soirée du groupement post-scolaire de Schaerbeek (MA dans la liste),MA-subj,,https://uurl.kbr.be/1262974/p3
BP-date,La Nation belge in BP,La Nation belge,17172248,18/04/1932,3,"(communiqué 07 + 08/04) Gala de la croix-rouge de la jeunesse d'Anderlecht.: MA acteur dans le drame ""Pours son fils"" de Marcel Savières",MA-subj,,https://uurl.kbr.be/1522712/p3
BP-date,Le Soir in BP,Le Soir,15438406,20/05/1932,3,"Radio Schaerbeek reprendra ses émissions lundi prochain, à midi. La longueur d'ondes (à Crainhem) reste fixée à 245 mètres). M. Doehard assumera la direction artistique. le nouveau speaker est M. Marcel Antoine.",Radio,,https://uurl.kbr.be/1599428/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,10/10/1932,3,"Chez les anciens de l'école industrielle de Schaerbeek - la fête de charité donnée samedi soir : on applaudit (...) les bons artistes Mlle de Lantsheere, ..., MA, qui détailla quelques-unes de ses ouvrettes les plus divertissantes, puis interpréta avec M. Ray Doehard un joyeux sketch de sa composition "" On demande un speaker"", ...",MA-subj,,https://uurl.kbr.be/1263148/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,19/03/1933,3,"Les fêtes du samedi à Bruxelles : Le Gala de l'Amicale des Sans-Filistes - ""numéros spéciaux : ... et surtout l'impayable MA, le speaker humoriste, dans ses dernières créations"" ...",MA-subj,,https://uurl.kbr.be/1263297/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,4/05/1933,3,Le 4e salon des humoristes - le spirituel MA est secrétaire général; Camille Gosset est président d'honneur,MineSouriante,,https://uurl.kbr.be/126334/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,5/06/1933,3,"Le banquet des ""humoristes"" : MA et sa femme / MA prononça un toast rimé (...)",MineSouriante,,https://uurl.kbr.be/1263375/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,3/12/1933,3,"Le gala de ""Mars et Mercure"" : (...) brillament commenté par le spirituel MA, recueillit l'approbation unanime des spectateurs",MA-subj,,https://uurl.kbr.be/1263533/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,18/12/1933,3,"Les 10 ans du patronage laïc de Schaerbeek (la fête anniversaire du premier patronage laïc créé dans l'agglomération bruxelloise) : ""La médaille de reconnaissance fut remise à trois bienfaiteurs du groupement : MM. Marcel Antoine, L. Mestdag (!) et Léon De Greef)",MA-subj,,https://uurl.kbr.be/1263548/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,6/05/1934,3,"Le bal-cabaret de ""la protection"" : ""On fit un accueil particulièrement enthousiaste à Marcel Antoine, le spirituel speaker-diseur qui prodigua ses bouts rimés et ses calembours""",MA-subj,,https://uurl.kbr.be/1263687/p3
BP-date,La Nation belge in BP,La Nation belge,17172248,3/12/1934,3,"Un gala du groupement postscolaire de Schaerbeek : ""on applaudit les calembours rimés de MA"" / Un défilé de mannequins et la présence de Miss Belgique 1934 contribuèrent à créer une atmosphère de joyeuse élégance""",MA-subj,,https://uurl.kbr.be/1523664/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,20/01/1935,3,"La revue de ""la protection"" (l'annuelle revue à grand spectacle).: ""La Protection a fait appel cette année à Marcel Antoine sacré récemment prince des humoristes, par ses pairs""",MA-subj,,https://uurl.kbr.be/1263943/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,15/04/1935,3,"Pour ""la protection"" et les invalides : ... une représentation de la brillante et spirituelle revue de Marcel Antoine ""Ouvrons l'Heysel"". L'oeuvre et ses interprètes ont retrouvé leur bruyant et légitime succès de la première""",MA-subj,,https://uurl.kbr.be/1264384/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,27/05/1935,3,"L'inauguration d'une nursery à l'exposition : ""L'entrée de la nursery est marquée par un très grand portique rehaussé de compositions picturales amusantes, rappelant des animaux ou des personnages aimés par des enfants; c'est un oeuvre de MA qui y a mis beaucoup d'humour et de saveur.""",MA-subj,,https://uurl.kbr.be/1264426/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,12/11/1935,3,"L'élection de la ""silhouette 1935"" : un jury composé des deux peintres Firmin Baes et Armand Massonnet, de MM. Robert Goffin, Natan, Liébaut et Marcel Antoine, s'efforça de trouver parmi cinquante silhouettes élégantes, celle dont la ligne se rapprochait le plus de la perfection (...)",MA-subj,,https://uurl.kbr.be/1264594/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,17/11/1935,3,"La Loterie Coloniale : tirage de la treizième tranche a eu lieu samedi à Bruxelles / (à la fin) ""Marcel Antoine, pour l'extérieur, assumaient les fonctions de speaker.""",MA-subj,,https://uurl.kbr.be/1264599/p3
BP-date,Le Radio in BP,Le Radio,12126493,29/12/1935,3,Slache 'avant-la-lettre' ! (dessin MA),MA-auth/art,,https://uurl.kbr.be/2045008/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,29/06/1936,3,"Gaston Chandry ""Le banquet des humoristes"" : Les humoristes ont fêté Amedée Lynen : PHOTO : Voici le président de la ""Mine souriante"", M. Marcel Antoine, félicitant Amedée Lynen et lui remettant sont portrait en bois découpé, oeuvre de Lempereur. De gauche à droite: Scouflaire, MA, Rali, Lenoir, Ray Mu, Amedée Lynen (1852-1938), Mister Van et Lempereur.
II y eut aussi des attractions inédites et inénarrables : comme ce petit sketch entre Napoléon et Marguerite de Bourgogne, interprété par Marcel Antoine et Leane; la danse de l'après-midi d'un clown, par lempereur; d'autres encore! ",MineSouriante,,https://uurl.kbr.be/1264822/p3
BP-date,Le Radio in BP,Le Radio,12126493,18/10/1936,3,"A l'écoute / un type radiophonique - Jules Slache - reprod. article de Robert Bebronne ""Propos radiophoniques"" dans Cassandre - PHOTO (portrait)  de MA 
[OCR]: Notre confrère Robert Bebronne consacre,
dans ses « Propos radiophoniques » hebdomadaires
de « Cassandre », une chronique
sur Jules Siache, type radiophonique, dont 
te créateur est l’amusant speaker de Radio-
Schaerbeek, Marcel Antoine.
Nous pensons que nos lecteurs, qui sont
également les auditeurs du poste bruxellois,
liront cette chronique avec beaucoup de plaisir
Connaissez-vous Bicard, dit le Bouif? Eh
bien, Jules Siache est une espèce de Bouif
bruxellois qui appartient, non pas à la littérature,
mais à l’éther, et dont le père spirituel
(dans les deux sens du mot) est le radioschaerbeekois
Marcel Antoine. Ce qui n’est pas banal non plus, c’est la
façon dont Marcel Antoine fait Intervenir
son bonhomme. H y a un trio composé du
speaker, avec sa voix naturelle, d’un nommé
Olive, dont l’organe est impressionnant et
dont l’accent fleure la bouillabaisse, de Siache,
enfin, qui a une petite voix comique et
craintive, et qui, avec des Ouye ouye et des
Vous savez, prolonge la plus pure tradition
de nos « ketches » autochtones. Jules Siache
n’a pas l’assurance que le Bouif puise dans
le gros rouge et le pernod. Siache ne boit
que de la gueuze et n’en profite pas un seul
instant pour prendre des airs de malin ou
de matamore. Le matamore, du reste, c’est
Olive. Et le speaker n’est là que pour apaiser
leurs querelles ou tirer la moralité de
leurs sketches. Faut-il ajouter que le spea- j
ker, Olive et Siache ne sont que trois têtes
sous un même bonnet, trois voix différentes
dans une même bouche? Marcel Antoine,
c’est quelque chose, révérence parler, comme
une Sainte-Trinité radiophonique.
Je ne sais pas si tout le monde aime Siache,
mais, pour ma part, je n’hésite pas à
avouer que je l’adore. Cela tient, sans doute,
à son organe qui évoque, dans l’imprécis de
l’éther, un être faiblard et funambulesque à
la Charlôt. N’est-ce pas lui qui a révélé une
sensibilité si attachante, un don de poésie
si neuf et si inattendu dans le morceau qui
porte ce titre baraquement éloquent : Schele
Miej siache parle « bruxellois », bien sûr —
et la chose en elle-même n’est pas antipathique
— mais il n’apporte aucune insistance à
cet aspect marollien de sa personnalité. On
lui reprocherait plutôt de forger des calembours
dont l’audition doit être formellement
interdite aux personnes atteintes d’une maladie
de coeur. Bicard aussi fait des jeux de
mots, et Siache, on l’a dit, est son frère
belge. H faut croire que l’intempérance —
gueuze ou pernod — ne fait pas seulement
voir en double les gens et les choses, mais
aussi le sens des vocables.
Que Siache boive moins et qu’il nous soit
présenté dans des saynètes plus poussées, il
n’àurait aucune peine à remporter les suffrages
de l’élite, outre ceux de la foule.'
Jules Siache est un type original de la radio
belge. Nous exigeons de Marcel Antoine qu’il
l’entoure des soins les plus affectueusement
Paternel*",MA-Slache,,"https://uurl.kbr.be/2045104/p3

see PDF (OCR) : ""Siache"" (""Slache"" not found)"
BP-date,Het Laatste Nieuws in BP,Het Laatste Nieuws,16157086,17/12/1936,3,"In het parlement / Rex / De h. Huysmans, voorzitter, verklaart dat het Staatshoofd boven een teekening verheven is die getuigt van den slechten smaak van den teekenaar. Hij voegt eraan toe: - ""Ik houd er aan te zeggen dat ik het jammer vind dat deze teekening verscheen. daarmee, meen ik, kan het incident als gesloten worden aanzien.""",Other,,https://uurl.kbr.be/1251408/p3
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,6/02/1937,3,"Le Gala des ""Sans Nom"" / MA dans un sketch inédit derrière le rideau ""Slache et le Fantôme"" présenta au public un personnage déjà populaire à Bruxelles; puis il dit quelques-unes des ses meilleures oeuvres dont l'hilarant ""Schele Mie; ...""",MA-Slache,,https://uurl.kbr.be/1265043/p3
BP-date,Le Radio in BP,Le Radio,12126493,19/12/1937,3,"A Radio-Schaerbeek: ""Slache"" reçoit Bach",Radio+Slache,,https://uurl.kbr.be/2045407/p3
BP-date,Le Radio in BP,Le Radio,12126493,2/01/1938,3,Cartoons MA : Radio 1938 (8 dessins en 2 bandes),MA-auth/art,,https://uurl.kbr.be/2045411/p3
BP-date,Le Radio in BP,Le Radio,12126493,6/05/1938,3,"""Slache"" aux Iles Hawaï ... (Photo réutilisé - check 1934)",Radio+Slache,,https://uurl.kbr.be/2045447/p3
BP-date,Le Radio in BP,Le Radio,12126493,29/05/1938,3,"La trinité : Slache, Marcel Antoine et Olive, vu par Marcel Antoine (signé Marcel Antoine)
Dessin réutilisé (...)",MA-Slache,,https://uurl.kbr.be/2045453/p3
BP-date,La Nation belge in BP,La Nation belge,17172248,20/02/1939,3,"""Le Costume des ""Sans-Nom"" à Manneken Pis"" (+ photo) : MA présenta un 'sketch de circonstance'.",MA-subj,,https://uurl.kbr.be/1525199/p3
BP-date,Le Radio in BP,Le Radio,12126493,5/11/1939,3,Radio-Conférences 12h15 (dimanche 5 nov) ,Radio+Slache,,"https://uurl.kbr.be/2045603/p2
https://uurl.kbr.be/2045603/p12 "
BP-date,La Dernière Heure in BP,La Dernière Heure,17171827,26/10/1945,3,"La Capitale (Bd Anspach) programme du 26/10 au 1/11 : MA notre ""Slache"" national",MA-Slache,,https://uurl.kbr.be/1266591/p3
